D,L,NC,W,dob,fname,height,lname,name,reach,sapm,slpm,stance,str_acc,str_def,sub_avg,td_acc,td_avg,td_def,weight,year_counts,15_rec,16_rec,17_rec,18_rec,weight_class,age,reach_height_ratio,reach_weight_ratio,age_z,reach_z,height_z,sapm_z,slpm_z,str_acc_z,str_def_z,sub_avg_z,td_acc_z,td_avg_z,td_def_z,total_fights,win_perc,brawl_score,strike_diff,strike_ratio
0,1,0,3,1995-04-07,Hu,75.0,Yaozong,Hu Yaozong,72.0,2.65,1.06,Orthodox,0.44,0.42,2.0,0.0,0.0,0.0,242,"[0, 0, 1, 0]",0,0,1,0,265,23.232876712328768,0.96,0.2975206611570248,-2.1342387525341278,-1.8117607588134093,0.12629867451207857,-0.3964141668900058,-1.5695744104227152,-0.14407245490360115,-0.6409460683011416,1.957412214990118,-1.2121473436117978,-0.8908771368507532,-1.923351218604814,4,0.75,3.71,-1.5899999999999999,0.4
0,4,0,5,1993-01-16,Chris,70.0,Avila,Chris Avila,72.0,4.17,2.37,Orthodox,0.3,0.48,0.0,0.0,0.0,0.46,145,"[0, 2, 0, 0]",0,2,0,0,145,25.454794520547946,1.0285714285714285,0.496551724137931,-1.4997801533867785,0.786653728212863,0.5700499876846751,0.5241852536330391,-0.6315760369956971,-1.164189561362503,-0.7834880127269992,-0.47744186994331295,-1.5199927562800164,-1.1270913442517678,-0.5072769180177571,9,0.5555555555555556,6.54,-1.7999999999999998,0.5683453237410072
0,4,0,6,1987-08-04,Oluwale,71.0,Bamgbose,Oluwale Bamgbose,78.0,2.7,2.45,Switch,0.48,0.55,0.0,0.33,0.94,0.37,185,"[1, 2, 2, 0]",1,2,2,0,185,30.912328767123288,1.0985915492957747,0.42162162162162165,-0.5404884551792255,1.2126100366800476,-0.9591473255932668,-0.21063064043130067,-0.5048063562265397,0.25270630030772806,0.09127473849576578,-0.8023079031671654,-0.19977820518868802,-0.5553170891508238,-0.9149754404737902,10,0.6,5.15,-0.25,0.9074074074074074
0,14,0,26,1978-09-24,Brad,66.0,Pickett,Brad Pickett,68.0,4.63,3.02,Orthodox,0.31,0.55,0.4,0.44,2.47,0.58,135,"[1, 3, 1, 0]",1,3,1,0,135,39.778082191780825,1.0303030303030303,0.5037037037037037,1.8909666405169447,-0.02971030137367235,-0.49546632666322865,0.7781693534181585,-0.13316599561047152,-0.8399393559429558,-0.12892680002724138,-0.22002918032826016,0.2514817825521066,0.5744619199812682,0.03140026620445493,40,0.65,7.65,-1.6099999999999999,0.6522678185745141
0,5,0,25,1984-07-31,Joseph,64.0,Benavidez,Joseph Benavidez,65.0,2.5,3.44,Southpaw,0.32,0.64,0.7,0.27,1.26,0.66,125,"[2, 2, 0, 1]",2,2,0,1,125,33.92328767123288,1.015625,0.52,0.901224346174739,-0.6243779996143857,-0.9793762996208284,-0.43816084190045684,0.37861572182231545,-0.6367121588442031,0.5333307922304652,-0.10071382027463516,-0.33656522980359943,-0.23266923773660875,0.4941163571602449,30,0.8333333333333334,5.9399999999999995,0.94,1.376
0,6,0,13,1983-09-19,Leandro,67.0,Issa,Leandro Issa,69.0,3.17,2.08,Orthodox,0.37,0.58,1.2,0.22,2.38,0.5,135,"[1, 1, 0, 0]",1,1,0,0,135,34.78904109589041,1.0298507462686568,0.5111111111111111,0.7928900373429644,0.36642705027527733,0.0701131594334722,-0.1125932849208024,-0.7451377265492591,-0.2954786662870751,0.1431687139837409,0.3716048378877284,-0.5937764310258047,0.5156604319786736,-0.2580802831851953,19,0.6842105263157895,5.25,-1.0899999999999999,0.6561514195583596
0,2,0,8,1994-06-13,Lucie,68.0,Pudilova,Lucie Pudilova,67.0,4.07,5.04,Orthodox,0.44,0.57,0.7,0.0,0.0,0.76,135,"[0, 0, 2, 1]",0,0,2,1,135,24.04931506849315,0.9852941176470589,0.4962962962962963,-1.570899245711402,-0.425847653022622,0.635692645530173,0.4365069715895162,1.181922192151604,0.3397254716447858,0.05247020931341314,0.0018335765027355287,-1.439034644603716,-1.0393122507565984,0.6827315023311685,10,0.8,9.11,0.9699999999999998,1.2383292383292384
0,5,0,11,1985-11-24,Mitch,70.0,Clarke,Mitch Clarke,73.0,3.27,2.35,Orthodox,0.34,0.47,0.4,0.15,0.64,0.5,155,"[1, 1, 1, 0]",1,1,1,0,155,32.605479452054794,1.042857142857143,0.47096774193548385,0.20319278273089086,0.6928989590446715,0.05325947693407655,-0.05689531744596228,-0.5602926609417398,-0.8190331353725515,-0.7742234111949126,-0.22926894421520602,-0.8305013252490284,-0.6502125911271409,-0.18409855851140575,16,0.6875,5.62,-0.9199999999999999,0.7186544342507646
0,8,0,22,1983-03-07,Steve,71.0,Kennedy,Steve Kennedy,71.0,5.52,2.28,Orthodox,0.35,0.45,0.0,0.33,2.51,0.0,170,"[2, 0, 0, 0]",2,0,0,0,170,35.326027397260276,1.0,0.4176470588235294,0.7086612966065259,-1.1126975853435004,-0.24404640907344774,1.7315141112538421,-0.7616421500291265,-0.9270336273147026,-1.2253047494023703,-0.6852386953661999,-0.1118975237725831,0.8324776896942219,-2.3315139196864703,30,0.7333333333333333,7.799999999999999,-3.2399999999999998,0.41304347826086957
0,6,0,30,1988-10-24,Alexander,79.0,Volkov,Alexander Volkov,80.0,2.35,4.84,Orthodox,0.58,0.58,0.3,0.83,0.83,0.73,250,"[0, 1, 2, 1]",0,1,2,1,265,29.687671232876713,1.0126582278481013,0.32,-0.8831055318080001,1.0601324563954624,1.978679234022608,-0.5923452828266533,1.2859453439144737,1.03400673386567,0.6556804606758793,-0.27224921162806753,1.5801752587033528,-0.3070483348806102,0.42265034373391935,36,0.8333333333333334,7.1899999999999995,2.4899999999999998,2.0595744680851062
